Model,Accuracy,Precision,Recall,F1,FPR,DR,TP,FP,TN,FN
SVM,0.9661733615221987,0.9826086956521739,0.9495798319327731,0.9658119658119658,0.01702127659574468,0.9495798319327731,226,4,231,12
XGBOOST,0.9513742071881607,0.9694323144104804,0.9327731092436975,0.9507494646680942,0.029787234042553193,0.9327731092436975,222,7,228,16
LIGHTGBM,0.9492600422832981,0.9776785714285714,0.9201680672268907,0.948051948051948,0.02127659574468085,0.9201680672268907,219,5,230,19
MLP,0.6448202959830867,0.7397260273972602,0.453781512605042,0.5625,0.16170212765957448,0.453781512605042,108,38,197,130
RANDOM_FOREST,0.9386892177589852,0.9563318777292577,0.9201680672268907,0.9379014989293362,0.0425531914893617,0.9201680672268907,219,10,225,19
LOGISTIC_REGRESSION,0.945031712473573,0.9529914529914529,0.9369747899159664,0.9449152542372882,0.04680851063829787,0.9369747899159664,223,11,224,15
TRANSFORMER_EMB,0.9471458773784355,0.9733333333333334,0.9201680672268907,0.9460043196544277,0.02553191489361702,0.9201680672268907,219,6,229,19
CNN_1D,0.9344608879492601,0.9404255319148936,0.9285714285714286,0.9344608879492601,0.059574468085106386,0.9285714285714286,221,14,221,17
ADABOOST,0.9069767441860465,0.9292035398230089,0.8823529411764706,0.9051724137931034,0.06808510638297872,0.8823529411764706,210,16,219,28
